\ N0=10.79
\ Y=18.03
\ i=54.45
\ q=1.917
\ sigma=42.44
\ tv=187.9
\ This is a dust torus emission obtained from the median parameter values of
\ best-fit CLUMPY models of PG quasars.
\ The wavelength is in the unit micron and the flux density (fnu) is normalised
\ to be integrated as 1.
\ The template is generated by SGJY at Mon May 29 20:35:29 2017 in KIAA-PKU.
|    wavelength|             flux|
|        double|           double|
|              |                 |
|          null|             null|
 0.905642837945 1.79018056727e-17 
 0.914031074876 1.82705946522e-17 
 0.922497005259 1.86504191845e-17 
 0.931041348707 1.90418201188e-17 
 0.939664831495 1.94451919791e-17 
 0.948368186629 1.98609459591e-17 
 0.957152153899 2.02895988294e-17 
 0.966017479952 2.08665167014e-17 
 0.974964918348 2.14802067834e-17 
 0.983995229628  2.2117870205e-17 
 0.993109181375 2.27807664787e-17 
  1.00230754828 2.34698161602e-17 
  1.01159111222 2.41863991565e-17 
  1.02096066231 2.49318675914e-17 
  1.03041699495 2.57075383964e-17 
  1.03996091395 2.65147914786e-17 
  1.04959323056 2.73553216233e-17 
  1.05931476352 2.82305550433e-17 
  1.06912633917 2.91423661895e-17 
  1.07902879152 3.00924813352e-17 
  1.08902296226 3.10827175122e-17 
  1.09910970093 3.21152659021e-17 
   1.1092898649 3.31921787695e-17 
  1.11956431948 3.43155935811e-17 
  1.12993393803 3.54880997466e-17 
  1.14039960197 3.67119532754e-17 
  1.15096220089 3.79900214105e-17 
  1.16162263261 3.93250195131e-17 
  1.17238180329 4.07199778219e-17 
  1.18324062746  4.2182019992e-17 
  1.19420002813 4.37140206754e-17 
  1.20526093687  4.5316787442e-17 
  1.21642429386 4.69940025137e-17 
  1.22769104799 4.87495592661e-17 
  1.23906215695 5.05878030176e-17 
  1.25053858729 5.25135828914e-17 
  1.26212131452 5.45313479304e-17 
  1.27381132319 5.66465436742e-17 
  1.28560960694 5.88647193869e-17 
  1.29751716866  6.1191253928e-17 
  1.30953502048 6.36326486049e-17 
  1.32166418395 6.61952824782e-17 
  1.33390569004 6.88865348098e-17 
