#   wa_calc,   carbon,     silicate,     factor
     0.091   2.8112-143   2.3039-294   2.8112-143
     0.539   9.9372E-24   4.3087E-25   1.0368E-23
     0.546   1.0107E-23   4.6044E-25   1.0567E-23
     0.552   1.0255E-23   4.9142E-25   1.0747E-23
     0.558   1.0391E-23   5.2386E-25   1.0915E-23
     0.565   1.0537E-23   5.5776E-25   1.1095E-23
     0.572   1.0715E-23   5.9316E-25   1.1308E-23
     0.578   1.0927E-23   6.3005E-25   1.1557E-23
     0.585   1.1162E-23   6.6847E-25   1.1831E-23
     0.592   1.1403E-23   7.0842E-25   1.2111E-23
     0.599   1.1634E-23   7.4990E-25   1.2384E-23
     0.606   1.1856E-23   7.9293E-25   1.2649E-23
     0.613   1.2083E-23   8.3751E-25   1.2921E-23
     0.620   1.2333E-23   8.8363E-25   1.3216E-23
     0.627   1.2612E-23   9.3129E-25   1.3543E-23
     0.635   1.2914E-23   9.8049E-25   1.3895E-23
     0.642   1.3227E-23   1.0312E-24   1.4258E-23
     0.650   1.3540E-23   1.0834E-24   1.4623E-23
     0.657   1.3852E-23   1.1372E-24   1.4989E-23
     0.665   1.4173E-23   1.1925E-24   1.5366E-23
     0.673   1.4538E-23   1.2493E-24   1.5787E-23
     0.680   1.4972E-23   1.3075E-24   1.6279E-23
     0.688   1.5488E-23   1.3671E-24   1.6855E-23
     0.696   1.6087E-23   1.4281E-24   1.7515E-23
     0.705   1.6759E-23   1.4904E-24   1.8249E-23
     0.713   1.7492E-23   1.5540E-24   1.9046E-23
     0.721   1.8275E-23   1.6188E-24   1.9894E-23
     0.730   1.9095E-23   1.6847E-24   2.0780E-23
     0.738   1.9942E-23   1.7519E-24   2.1694E-23
     0.747   2.0811E-23   1.8201E-24   2.2631E-23
     0.755   2.1705E-23   1.8893E-24   2.3594E-23
     0.764   2.2636E-23   1.9595E-24   2.4595E-23
     0.773   2.3617E-23   2.0306E-24   2.5648E-23
     0.782   2.4659E-23   2.1025E-24   2.6761E-23
     0.791   2.5764E-23   2.1752E-24   2.7940E-23
     0.801   2.6935E-23   2.2487E-24   2.9184E-23
     0.810   2.8174E-23   2.3227E-24   3.0497E-23
     0.819   2.9485E-23   2.3974E-24   3.1882E-23
     0.829   3.0874E-23   2.4725E-24   3.3347E-23
     0.839   3.2348E-23   2.5480E-24   3.4897E-23
